post,longitude,latitude
30500,-93.7586,16.1003
30500,-93.771,16.0934
30500,-93.8658,16.1708
30500,-93.7601,16.0988
30500,-93.7609,16.0931
30500,-93.8594,16.1758
30500,-93.4586,15.8397
30500,-93.8528,16.0767
30500,-93.7702,16.0911
30500,-93.6907,15.997
30500,-93.4656,15.8139
30500,-93.4544,15.8056
30500,-93.5006,15.8686
30500,-93.7241,16.0458
30013,-83.9684,33.6436
30013,-92.0697,16.1781
30115,-84.4199,34.1993
30115,-92.2465,16.124
30111,-84.5572,33.9125
30111,-92.2933,16.1786
30111,-92.2764,16.1694
30093,-84.184,33.906
30093,-92.1258,16.2224
30093,-92.1222,16.2083
30093,-92.1,16.2071
30093,-92.1438,16.2222
30093,-92.1099,16.1879
30093,-92.1375,16.2011
30039,-84.0229,33.8178
30039,-92.1197,16.2434
30039,-92.1306,16.2444
30039,-92.1789,16.2969
30023,-84.2941,34.0754
30023,-92.1378,16.2469
30029,-84.1263,33.9792
30029,-92.1334,16.24
30029,-92.1789,16.2969
30454,-82.7479,32.3915
30454,-93.9374,16.2489
30454,-93.9047,16.2318
30454,-93.9111,16.2381
30454,-93.9023,16.2383
30454,-93.94,16.1672
30454,-93.9161,16.2334
30454,-93.9049,16.2304
30454,-93.9134,16.2357
30454,-93.8125,16.3139
30454,-93.8611,16.2136
30454,-94.0464,16.1511
30454,-93.8417,16.2808
70902,-96.4699,15.7209
70902,-96.3386,15.6881
70902,-96.4786,15.7156
70902,-96.4575,15.8397
70902,-96.4128,15.7891
70902,-96.4471,15.7267
70902,-96.491,15.669
70947,-96.5685,15.6774
70947,-96.6019,15.7906
70947,-96.5153,15.6806
70947,-96.5394,15.6694
70947,-96.5441,15.6657
70947,-96.5808,15.7365
70947,-96.5817,15.7158
70947,-96.5551,15.7394
70947,-96.5697,15.7425
70947,-96.5547,15.6672
70947,-96.5633,15.7228
70947,-96.5194,15.7327
70947,-96.5951,15.7942
70947,-96.5556,15.7244
70947,-96.573,15.7193
70947,-96.605,15.7256
70947,-96.5614,15.7281
70947,-96.5406,15.7269
70947,-96.555,15.7908
70947,-96.56,15.7742
70947,-96.5264,15.7531
70947,-96.7444,15.8661
70947,-96.6818,15.7729
70947,-96.5719,15.6719
70947,-96.5462,15.7926
70947,-96.5614,15.7222
70900,-96.4738,15.7267
70900,-96.4594,15.7236
70900,-96.4831,15.6731
70900,-96.4767,15.7517
70900,-96.4586,15.7519
